Cakes_id,price,Ingredients,Cake_name,Cake_size,Flavor,Shipment
121.97.189.104/26,5370,nulla ut erat,"Cremin, Jaskolski and Shanahan",39,Cheese - Wine,70
135.7.53.120/24,7131,odio curabitur convallis duis,"Feil, Luettgen and Koch",12,Chicken Thigh - Bone Out,89
44.83.154.138/9,6931,nam tristique tortor eu,Harber Inc,31,Gherkin,87
244.38.206.246/3,9081,volutpat convallis morbi,Thiel Inc,12,Tarts Assorted,61
37.111.175.52/6,6121,faucibus orci luctus et ultrices,"Hansen, Gorczany and Stamm",36,Nantucket - Orange Mango Cktl,49
226.162.13.234/9,8385,pellentesque at nulla suspendisse potenti,Moen-Upton,40,"Rum - White, Gg White",30
100.190.117.65/21,9179,vel sem sed sagittis,Heathcote-Reynolds,34,Chef Hat 25cm,92
244.181.81.54/27,8791,nisl duis bibendum felis sed,Connelly-Schowalter,26,Tomatoes,60
40.101.221.30/16,6681,libero ut massa volutpat convallis,Jacobson-Grant,36,"Carrots - Purple, Organic",100
211.28.64.99/5,8948,mi integer ac neque,"Lakin, Stanton and Klocko",21,Bar - Granola Trail Mix Fruit Nut,53
175.243.242.136/14,6946,id consequat in,Corkery Inc,26,Truffle Shells - Semi - Sweet,33
204.151.115.213/3,8600,sit amet diam,Robel-O'Connell,31,Fudge - Cream Fudge,69
181.196.96.133/10,6128,pretium iaculis diam erat fermentum,Spinka Group,33,Turnip - Mini,55
36.35.214.189/4,7783,volutpat eleifend donec ut,Ortiz LLC,27,"Pasta - Cannelloni, Sheets, Fresh",72
92.223.192.125/14,8439,turpis sed ante vivamus tortor,"Kemmer, Quigley and Armstrong",40,Bread - Wheat Baguette,70
27.69.26.161/28,6310,nulla sed vel enim,"Brown, Parker and Grady",37,Bacardi Breezer - Strawberry,85
53.180.175.50/12,5591,molestie sed justo pellentesque viverra,"Raynor, Treutel and Kling",25,Sauce - Roasted Red Pepper,67
140.30.73.169/19,7472,id nulla ultrices aliquet,Paucek-Klocko,32,Tomato - Green,70
1.158.53.173/19,5335,sodales sed tincidunt eu felis,"Walker, Rogahn and Littel",20,"Hickory Smoke, Liquid",55
237.156.78.238/12,9778,tempor convallis nulla neque libero,Kuvalis-Herzog,32,Pasta - Fusili Tri - Coloured,55
2.34.86.19/24,9414,sit amet lobortis sapien,Ziemann LLC,30,"Shrimp - 16/20, Peeled Deviened",48
10.45.216.46/21,9335,vestibulum ante ipsum,Herman LLC,39,Juice - Orange 1.89l,91
167.219.28.75/13,8158,tempor convallis nulla,Schroeder-Mertz,12,Pastry - Raisin Muffin - Mini,84
